table,j,K,year,alt_km,F_years,corrected
8.1,1,1.0,2015,800,16.909,
8.1,1,1.0,2015,1000,17.727,
8.1,1,1.0,2015,1200,18.695,
8.1,1,1.0,2015,1400,18.152,
8.1,1,1.0,2016,200,26.273,
8.1,1,1.0,2016,400,21.794,
8.1,1,1.0,2016,600,16.763,
8.1,1,1.0,2016,800,18.062,
8.1,1,1.0,2016,1000,18.97,
8.1,1,1.0,2016,1200,20.056,
8.1,1,1.0,2016,1400,19.438,
8.1,1,1.0,2017,200,27.721,
8.1,1,1.0,2017,400,23.04,
8.1,1,1.0,2017,600,17.812,
8.1,1,1.0,2017,800,19.245,
8.1,1,1.0,2017,1000,20.234,
8.1,1,1.0,2017,1200,21.439,
8.1,1,1.0,2017,1400,20.743,
8.1,1,1.0,2018,200,29.628,
8.1,1,1.0,2018,400,24.587,
8.1,1,1.0,2018,600,18.931,
8.1,1,1.0,2018,800,20.459,
8.1,1,1.0,2018,1000,21.523,
8.1,1,1.0,2018,1200,22.845,
8.1,1,1.0,2018,1400,22.069,
8.1,1,1.0,2019,200,31.951,
8.1,1,1.0,2019,400,26.414,
8.1,1,1.0,2019,600,20.12,
8.1,1,1.0,2019,800,21.705,
8.1,1,1.0,2019,1000,22.836,
8.1,1,1.0,2019,1200,24.272,
8.1,1,1.0,2019,1400,23.417,
8.1,1,1.0,2020,200,34.653,
8.1,1,1.0,2020,400,28.5,
8.1,1,1.0,2020,600,21.379,
8.1,1,1.0,2020,800,22.983,
8.1,1,1.0,2020,1000,24.173,
8.1,1,1.0,2020,1200,25.722,
8.1,1,1.0,2020,1400,24.787,
8.1,1,1.0,2021,200,36.903,
8.1,1,1.0,2021,400,30.349,
8.1,1,1.0,2021,600,22.666,
8.1,1,1.0,2021,800,24.288,
8.1,1,1.0,2021,1000,25.531,
8.1,1,1.0,2021,1200,27.193,
8.1,1,1.0,2021,1400,26.174,
8.1,1,1.0,2022,200,38.502,
8.1,1,1.0,2022,400,31.767,
8.1,1,1.0,2022,600,23.887,
8.1,1,1.0,2022,800,25.589,
8.1,1,1.0,2022,1000,26.901,
8.1,1,1.0,2022,1200,28.69,
8.1,1,1.0,2022,1400,27.578,
8.1,1,1.0,2023,200,40.133,
8.1,1,1.0,2023,400,33.088,
8.1,1,1.0,2023,600,24.932,
8.1,1,1.0,2023,800,26.806,
8.1,1,1.0,2023,1000,28.246,
8.1,1,1.0,2023,1200,30.21,
8.1,1,1.0,2023,1400,28.989,
8.1,1,1.0,2024,200,41.431,
8.1,1,1.0,2024,400,34.211,
8.1,1,1.0,2024,600,25.949,
8.1,1,1.0,2024,800,28.024,
8.1,1,1.0,2024,1000,29.603,
8.1,1,1.0,2024,1200,31.755,
8.1,1,1.0,2024,1400,30.416,
8.1,1,1.0,2025,200,42.613,
8.1,1,1.0,2025,400,35.253,
8.1,1,1.0,2025,600,26.942,
8.1,1,1.0,2025,800,29.245,
8.1,1,1.0,2025,1000,30.972,
8.1,1,1.0,2025,1200,33.325,
8.1,1,1.0,2025,1400,31.86,
8.2,2,1.0,2000,200,1.0,
8.2,2,1.0,2000,400,1.0,
8.2,2,1.0,2000,600,1.0,
8.2,2,1.0,2000,800,1.0,
8.2,2,1.0,2000,1000,1.0,
8.2,2,1.0,2000,1200,1.0,
8.2,2,1.0,2000,1400,1.0,
8.2,2,1.0,2001,200,2.514,
8.2,2,1.0,2001,400,2.182,
8.2,2,1.0,2001,600,1.848,
8.2,2,1.0,2001,800,1.933,
8.2,2,1.0,2001,1000,1.982,
8.2,2,1.0,2001,1200,2.022,
8.2,2,1.0,2001,1400,2.011,
8.2,2,1.0,2002,200,3.809,
8.2,2,1.0,2002,400,3.238,
8.2,2,1.0,2002,600,2.687,
8.2,2,1.0,2002,800,2.872,
8.2,2,1.0,2002,1000,2.978,
8.2,2,1.0,2002,1200,3.068,
8.2,2,1.0,2002,1400,3.039,
8.2,2,1.0,2003,200,5.039,
8.2,2,1.0,2003,400,4.249,
8.2,2,1.0,2003,600,3.516,
8.2,2,1.0,2003,800,3.818,
8.2,2,1.0,2003,1000,3.99,
8.2,2,1.0,2003,1200,4.137,
8.2,2,1.0,2003,1400,4.084,
8.2,2,1.0,2004,200,6.417,
8.2,2,1.0,2004,400,5.377,
8.2,2,1.0,2004,600,4.391,
8.2,2,1.0,2004,800,4.795,
8.2,2,1.0,2004,1000,5.025,
8.2,2,1.0,2004,1200,5.228,
8.2,2,1.0,2004,1400,5.149,
8.2,2,1.0,2005,200,7.873,
8.2,2,1.0,2005,400,6.58,
8.2,2,1.0,2005,600,5.311,
8.2,2,1.0,2005,800,5.803,
8.2,2,1.0,2005,1000,6.083,
8.2,2,1.0,2005,1200,6.34,
8.2,2,1.0,2005,1400,6.233,
8.2,2,1.0,2006,200,9.372,
8.2,2,1.0,2006,400,7.833,
8.2,2,1.0,2006,600,6.274,
8.2,2,1.0,2006,800,6.84,
8.2,2,1.0,2006,1000,7.163,
8.2,2,1.0,2006,1200,7.474,
8.2,2,1.0,2006,1400,7.335,
8.2,2,1.0,2007,200,11.389,
8.2,2,1.0,2007,400,9.424,
8.2,2,1.0,2007,600,7.311,
8.2,2,1.0,2007,800,7.91,
8.2,2,1.0,2007,1000,8.267,
8.2,2,1.0,2007,1200,8.63,
8.2,2,1.0,2007,1400,8.459,
8.2,2,1.0,2008,200,13.869,
8.2,2,1.0,2008,400,11.324,
8.2,2,1.0,2008,600,8.422,
8.2,2,1.0,2008,800,9.014,
8.2,2,1.0,2008,1000,9.397,
8.2,2,1.0,2008,1200,9.808,
8.2,2,1.0,2008,1400,9.605,
8.2,2,1.0,2009,200,16.765,
8.2,2,1.0,2009,400,13.506,
8.2,2,1.0,2009,600,9.604,
8.2,2,1.0,2009,800,10.15,
8.2,2,1.0,2009,1000,10.551,
8.2,2,1.0,2009,1200,11.007,
8.2,2,1.0,2009,1400,10.773,
8.2,2,1.0,2010,200,19.085,
8.2,2,1.0,2010,400,15.388,
8.2,2,1.0,2010,600,10.815,
8.2,2,1.0,2010,800,11.316,
8.2,2,1.0,2010,1000,11.728,
8.2,2,1.0,2010,1200,12.228,
8.2,2,1.0,2010,1400,11.959,
8.2,2,1.0,2011,200,20.751,
8.2,2,1.0,2011,400,16.823,
8.2,2,1.0,2011,600,11.962,
8.2,2,1.0,2011,800,12.477,
8.2,2,1.0,2011,1000,12.916,
8.2,2,1.0,2011,1200,13.473,
8.2,2,1.0,2011,1400,13.162,
8.2,2,1.0,2012,200,22.482,
8.2,2,1.0,2012,400,18.17,
8.2,2,1.0,2012,600,12.923,
8.2,2,1.0,2012,800,13.558,
8.2,2,1.0,2012,1000,14.08,
8.2,2,1.0,2012,1200,14.741,
8.2,2,1.0,2012,1400,14.373,
8.2,2,1.0,2013,200,23.87,
8.2,2,1.0,2013,400,19.316,
8.2,2,1.0,2013,600,13.865,
8.2,2,1.0,2013,800,14.642,
8.2,2,1.0,2013,1000,15.257,
8.2,2,1.0,2013,1200,16.033,
8.2,2,1.0,2013,1400,15.6,
8.2,2,1.0,2014,200,25.15,
8.2,2,1.0,2014,400,20.387,
8.2,2,1.0,2014,600,14.789,
8.2,2,1.0,2014,800,15.73,
8.2,2,1.0,2014,1000,16.448,
8.2,2,1.0,2014,1200,17.349,
8.2,2,1.0,2014,1400,16.844,
8.2,2,1.0,2015,200,26.559,
8.2,2,1.0,2015,400,21.563,
8.2,2,1.0,2015,600,15.756,
8.2,2,1.0,2015,800,16.848,
8.2,2,1.0,2015,1000,17.661,
8.2,2,1.0,2015,1200,18.686,
8.2,2,1.0,2015,1400,18.107,
8.2,2,1.0,2016,200,28.034,
8.2,2,1.0,2016,400,22.804,
8.2,2,1.0,2016,600,16.766,
8.2,2,1.0,2016,800,17.996,
8.2,2,1.0,2016,1000,18.896,
8.2,2,1.0,2016,1200,20.046,
8.2,2,1.0,2016,1400,19.387,
8.2,2,1.0,2017,200,29.543,
8.2,2,1.0,2017,400,24.091,
8.2,2,1.0,2017,600,17.818,
8.2,2,1.0,2017,800,19.173,
8.2,2,1.0,2017,1000,20.153,
8.2,2,1.0,2017,1200,21.427,
8.2,2,1.0,2017,1400,20.686,
8.2,2,1.0,2018,200,31.57,
8.2,2,1.0,2018,400,25.715,
8.2,2,1.0,2018,600,18.944,
8.2,2,1.0,2018,800,20.384,
8.2,2,1.0,2018,1000,21.435,
8.2,2,1.0,2018,1200,22.83,
8.2,2,1.0,2018,1400,22.006,
8.2,2,1.0,2019,200,34.058,
8.2,2,1.0,2019,400,27.647,
8.2,2,1.0,2019,600,20.143,
8.2,2,1.0,2019,800,21.628,
8.2,2,1.0,2019,1000,22.742,
8.2,2,1.0,2019,1200,24.255,
8.2,2,1.0,2019,1400,23.348,
8.2,2,1.0,2020,200,36.962,
8.2,2,1.0,2020,400,29.861,
8.2,2,1.0,2020,600,21.415,
8.2,2,1.0,2020,800,22.904,
8.2,2,1.0,2020,1000,24.073,
8.2,2,1.0,2020,1200,25.703,
8.2,2,1.0,2020,1400,24.711,
8.2,2,1.0,2021,200,39.286,
8.2,2,1.0,2021,400,31.771,
8.2,2,1.0,2021,600,22.713,
8.2,2,1.0,2021,800,24.209,
8.2,2,1.0,2021,1000,25.426,
8.2,2,1.0,2021,1200,27.172,
8.2,2,1.0,2021,1400,26.091,
8.2,2,1.0,2022,200,40.962,
8.2,2,1.0,2022,400,33.235,
8.2,2,1.0,2022,600,23.943,
8.2,2,1.0,2022,800,25.508,
8.2,2,1.0,2022,1000,26.789,
8.2,2,1.0,2022,1200,28.666,
8.2,2,1.0,2022,1400,27.488,
8.2,2,1.0,2023,200,42.731,
8.2,2,1.0,2023,400,34.625,
8.2,2,1.0,2023,600,24.98,
8.2,2,1.0,2023,800,26.716,
8.2,2,1.0,2023,1000,28.122,
8.2,2,1.0,2023,1200,30.183,
8.2,2,1.0,2023,1400,28.89,
8.2,2,1.0,2024,200,44.137,
8.2,2,1.0,2024,400,35.801,
8.2,2,1.0,2024,600,25.993,
8.2,2,1.0,2024,800,27.925,
8.2,2,1.0,2024,1000,29.468,
8.2,2,1.0,2024,1200,31.725,
8.2,2,1.0,2024,1400,30.309,
8.2,2,1.0,2025,200,45.431,
8.2,2,1.0,2025,400,36.898,
8.2,2,1.0,2025,600,26.985,
8.2,2,1.0,2025,800,29.135,
8.2,2,1.0,2025,1000,30.826,
8.2,2,1.0,2025,1200,33.291,
8.2,2,1.0,2025,1400,31.742,
8.3,3,1.0,2000,200,1.0,
8.3,3,1.0,2000,400,1.0,
8.3,3,1.0,2000,600,1.0,
8.3,3,1.0,2000,800,1.0,
8.3,3,1.0,2000,1000,1.0,
8.3,3,1.0,2000,1200,1.0,
8.3,3,1.0,2000,1400,1.0,
8.3,3,1.0,2001,200,2.434,
8.3,3,1.0,2001,400,2.15,
8.3,3,1.0,2001,600,1.87,
8.3,3,1.0,2001,800,1.951,
8.3,3,1.0,2001,1000,1.992,
8.3,3,1.0,2001,1200,2.022,
8.3,3,1.0,2001,1400,2.013,
8.3,3,1.0,2002,200,3.692,
8.3,3,1.0,2002,400,3.188,
8.3,3,1.0,2002,600,2.73,
8.3,3,1.0,2002,800,2.913,
8.3,3,1.0,2002,1000,3.0,
8.3,3,1.0,2002,1200,3.066,
8.3,3,1.0,2002,1400,3.044,
8.3,3,1.0,2003,200,4.884,
8.3,3,1.0,2003,400,4.176,
8.3,3,1.0,2003,600,3.581,
8.3,3,1.0,2003,800,3.887,
8.3,3,1.0,2003,1000,4.025,
8.3,3,1.0,2003,1200,4.132,
8.3,3,1.0,2003,1400,4.094,
8.3,3,1.0,2004,200,6.15,
8.3,3,1.0,2004,400,5.243,
8.3,3,1.0,2004,600,4.478,
8.3,3,1.0,2004,800,4.889,
8.3,3,1.0,2004,1000,5.072,
8.3,3,1.0,2004,1200,5.221,
8.3,3,1.0,2004,1400,5.164,
8.3,3,1.0,2005,200,7.447,
8.3,3,1.0,2005,400,6.36,
8.3,3,1.0,2005,600,5.417,
8.3,3,1.0,2005,800,5.918,
8.3,3,1.0,2005,1000,6.142,
8.3,3,1.0,2005,1200,6.33,
8.3,3,1.0,2005,1400,6.253,
8.3,3,1.0,2006,200,8.752,
8.3,3,1.0,2006,400,7.513,
8.3,3,1.0,2006,600,6.401,
8.3,3,1.0,2006,800,6.975,
8.3,3,1.0,2006,1000,7.234,
8.3,3,1.0,2006,1200,7.461,
8.3,3,1.0,2006,1400,7.362,
8.3,3,1.0,2007,200,10.534,
8.3,3,1.0,2007,400,8.974,
8.3,3,1.0,2007,600,7.447,
8.3,3,1.0,2007,800,8.063,
8.3,3,1.0,2007,1000,8.35,
8.3,3,1.0,2007,1200,8.614,
8.3,3,1.0,2007,1400,8.493,
8.3,3,1.0,2008,200,12.754,
8.3,3,1.0,2008,400,10.722,
8.3,3,1.0,2008,600,8.556,
8.3,3,1.0,2008,800,9.18,
8.3,3,1.0,2008,1000,9.49,
8.3,3,1.0,2008,1200,9.789,
8.3,3,1.0,2008,1400,9.645,
8.3,3,1.0,2009,200,15.377,
8.3,3,1.0,2009,400,12.74,
8.3,3,1.0,2009,600,9.728,
8.3,3,1.0,2009,800,10.328,
8.3,3,1.0,2009,1000,10.653,
8.3,3,1.0,2009,1200,10.985,
8.3,3,1.0,2009,1400,10.819,
8.3,3,1.0,2010,200,17.445,
8.3,3,1.0,2010,400,14.479,
8.3,3,1.0,2010,600,10.933,
8.3,3,1.0,2010,800,11.502,
8.3,3,1.0,2010,1000,11.839,
8.3,3,1.0,2010,1200,12.203,
8.3,3,1.0,2010,1400,12.012,
8.3,3,1.0,2011,200,19.023,
8.3,3,1.0,2011,400,15.861,
8.3,3,1.0,2011,600,12.083,
8.3,3,1.0,2011,800,12.68,
8.3,3,1.0,2011,1000,13.039,
8.3,3,1.0,2011,1200,13.444,
8.3,3,1.0,2011,1400,13.223,
8.3,3,1.0,2012,200,20.666,
8.3,3,1.0,2012,400,17.174,
8.3,3,1.0,2012,600,13.076,
8.3,3,1.0,2012,800,13.798,
8.3,3,1.0,2012,1000,14.226,
8.3,3,1.0,2012,1200,14.707,
8.3,3,1.0,2012,1400,14.446,
8.3,3,1.0,2013,200,22.025,
8.3,3,1.0,2013,400,18.308,
8.3,3,1.0,2013,600,14.051,
8.3,3,1.0,2013,800,14.923,
8.3,3,1.0,2013,1000,15.428,
8.3,3,1.0,2013,1200,15.992,
8.3,3,1.0,2013,1400,15.686,
8.3,3,1.0,2014,200,23.278,
8.3,3,1.0,2014,400,19.363,
8.3,3,1.0,2014,600,15.009,
8.3,3,1.0,2014,800,16.058,
8.3,3,1.0,2014,1000,16.645,
8.3,3,1.0,2014,1200,17.301,
8.3,3,1.0,2014,1400,16.943,
8.3,3,1.0,2015,200,24.58,
8.3,3,1.0,2015,400,20.483,
8.3,3,1.0,2015,600,16.01,
8.3,3,1.0,2015,800,17.221,
8.3,3,1.0,2015,1000,17.885,
8.3,3,1.0,2015,1200,18.631,
8.3,3,1.0,2015,1400,18.22,
8.3,3,1.0,2016,200,25.896,
8.3,3,1.0,2016,400,21.643,
8.3,3,1.0,2016,600,17.054,
8.3,3,1.0,2016,800,18.411,
8.3,3,1.0,2016,1000,19.146,
8.3,3,1.0,2016,1200,19.983,
8.3,3,1.0,2016,1400,19.516,
8.3,3,1.0,2017,200,27.209,
8.3,3,1.0,2017,400,22.831,
8.3,3,1.0,2017,600,18.14,
8.3,3,1.0,2017,800,19.629,
8.3,3,1.0,2017,1000,20.43,
8.3,3,1.0,2017,1200,21.356,
8.3,3,1.0,2017,1400,20.832,
8.3,3,1.0,2018,200,29.0,
8.3,3,1.0,2018,400,24.328,
8.3,3,1.0,2018,600,19.289,
8.3,3,1.0,2018,800,20.876,
8.3,3,1.0,2018,1000,21.737,
8.3,3,1.0,2018,1200,22.752,
8.3,3,1.0,2018,1400,22.168,
8.3,3,1.0,2019,200,31.227,
8.3,3,1.0,2019,400,26.112,
8.3,3,1.0,2019,600,20.502,
8.3,3,1.0,2019,800,22.154,
8.3,3,1.0,2019,1000,23.068,
8.3,3,1.0,2019,1200,24.169,
8.3,3,1.0,2019,1400,23.527,
8.3,3,1.0,2020,200,33.858,
8.3,3,1.0,2020,400,28.165,
8.3,3,1.0,2020,600,21.777,
8.3,3,1.0,2020,800,23.462,
8.3,3,1.0,2020,1000,24.423,
8.3,3,1.0,2020,1200,25.608,
8.3,3,1.0,2020,1400,24.906,
8.3,3,1.0,2021,200,35.926,
8.3,3,1.0,2021,400,29.934,
8.3,3,1.0,2021,600,23.084,
8.3,3,1.0,2021,800,24.796,
8.3,3,1.0,2021,1000,25.799,
8.3,3,1.0,2021,1200,27.069,
8.3,3,1.0,2021,1400,26.305,
8.3,3,1.0,2022,200,37.512,
8.3,3,1.0,2022,400,31.348,
8.3,3,1.0,2022,600,24.332,
8.3,3,1.0,2022,800,26.132,
8.3,3,1.0,2022,1000,27.189,
8.3,3,1.0,2022,1200,28.553,
8.3,3,1.0,2022,1400,27.721,
8.3,3,1.0,2023,200,39.191,
8.3,3,1.0,2023,400,32.706,
8.3,3,1.0,2023,600,25.416,
8.3,3,1.0,2023,800,27.399,
8.3,3,1.0,2023,1000,28.561,
8.3,3,1.0,2023,1200,30.059,
8.3,3,1.0,2023,1400,29.146,
8.3,3,1.0,2024,200,40.571,
8.3,3,1.0,2024,400,33.875,
8.3,3,1.0,2024,600,26.476,
8.3,3,1.0,2024,800,28.672,
8.3,3,1.0,2024,1000,29.947,
8.3,3,1.0,2024,1200,31.588,
8.3,3,1.0,2024,1400,30.588,
8.3,3,1.0,2025,200,41.839,
8.3,3,1.0,2025,400,34.96,
8.3,3,1.0,2025,600,27.517,
8.3,3,1.0,2025,800,29.952,
8.3,3,1.0,2025,1000,31.348,
8.3,3,1.0,2025,1200,33.141,
8.3,3,1.0,2025,1400,32.047,
8.4,4,1.0,2000,200,1.0,
8.4,4,1.0,2000,400,1.0,
8.4,4,1.0,2000,600,1.0,
8.4,4,1.0,2000,800,1.0,
8.4,4,1.0,2000,1000,1.0,
8.4,4,1.0,2000,1200,1.0,
8.4,4,1.0,2000,1400,1.0,
8.4,4,1.0,2001,200,2.452,
8.4,4,1.0,2001,400,2.157,
8.4,4,1.0,2001,600,1.877,
8.4,4,1.0,2001,800,1.955,
8.4,4,1.0,2001,1000,1.993,
8.4,4,1.0,2001,1200,2.02,
8.4,4,1.0,2001,1400,2.013,
8.4,4,1.0,2002,200,3.695,
8.4,4,1.0,2002,400,3.19,
8.4,4,1.0,2002,600,2.749,
8.4,4,1.0,2002,800,2.922,
8.4,4,1.0,2002,1000,3.003,
8.4,4,1.0,2002,1200,3.063,
8.4,4,1.0,2002,1400,3.045,
8.4,4,1.0,2003,200,4.854,
8.4,4,1.0,2003,400,4.165,
8.4,4,1.0,2003,600,3.616,
8.4,4,1.0,2003,800,3.901,
8.4,4,1.0,2003,1000,4.03,
8.4,4,1.0,2003,1200,4.127,
8.4,4,1.0,2003,1400,4.095,
8.4,4,1.0,2004,200,6.074,
8.4,4,1.0,2004,400,5.212,
8.4,4,1.0,2004,600,4.527,
8.4,4,1.0,2004,800,4.908,
8.4,4,1.0,2004,1000,5.08,
8.4,4,1.0,2004,1200,5.213,
8.4,4,1.0,2004,1400,5.164,
8.4,4,1.0,2005,200,7.321,
8.4,4,1.0,2005,400,6.308,
8.4,4,1.0,2005,600,5.482,
8.4,4,1.0,2005,800,5.943,
8.4,4,1.0,2005,1000,6.152,
8.4,4,1.0,2005,1200,6.32,
8.4,4,1.0,2005,1400,6.254,
8.4,4,1.0,2006,200,8.581,
8.4,4,1.0,2006,400,7.444,
8.4,4,1.0,2006,600,6.48,
8.4,4,1.0,2006,800,7.006,
8.4,4,1.0,2006,1000,7.246,
8.4,4,1.0,2006,1200,7.448,
8.4,4,1.0,2006,1400,7.363,
8.4,4,1.0,2007,200,10.305,
8.4,4,1.0,2007,400,8.877,
8.4,4,1.0,2007,600,7.538,
8.4,4,1.0,2007,800,8.098,
8.4,4,1.0,2007,1000,8.363,
8.4,4,1.0,2007,1200,8.598,
8.4,4,1.0,2007,1400,8.494,
8.4,4,1.0,2008,200,12.452,
8.4,4,1.0,2008,400,10.587,
8.4,4,1.0,2008,600,8.656,
8.4,4,1.0,2008,800,9.22,
8.4,4,1.0,2008,1000,9.505,
8.4,4,1.0,2008,1200,9.769,
8.4,4,1.0,2008,1400,9.647,
8.4,4,1.0,2009,200,14.992,
8.4,4,1.0,2009,400,12.558,
8.4,4,1.0,2009,600,9.834,
8.4,4,1.0,2009,800,10.371,
8.4,4,1.0,2009,1000,10.67,
8.4,4,1.0,2009,1200,10.962,
8.4,4,1.0,2009,1400,10.821,
8.4,4,1.0,2010,200,16.98,
8.4,4,1.0,2010,400,14.254,
8.4,4,1.0,2010,600,11.044,
8.4,4,1.0,2010,800,11.549,
8.4,4,1.0,2010,1000,11.857,
8.4,4,1.0,2010,1200,12.176,
8.4,4,1.0,2010,1400,12.014,
8.4,4,1.0,2011,200,18.531,
8.4,4,1.0,2011,400,15.625,
8.4,4,1.0,2011,600,12.203,
8.4,4,1.0,2011,800,12.731,
8.4,4,1.0,2011,1000,13.059,
8.4,4,1.0,2011,1200,13.413,
8.4,4,1.0,2011,1400,13.225,
8.4,4,1.0,2012,200,20.181,
8.4,4,1.0,2012,400,16.94,
8.4,4,1.0,2012,600,13.212,
8.4,4,1.0,2012,800,13.857,
8.4,4,1.0,2012,1000,14.249,
8.4,4,1.0,2012,1200,14.669,
8.4,4,1.0,2012,1400,14.448,
8.4,4,1.0,2013,200,21.524,
8.4,4,1.0,2013,400,18.068,
8.4,4,1.0,2013,600,14.207,
8.4,4,1.0,2013,800,14.993,
8.4,4,1.0,2013,1000,15.455,
8.4,4,1.0,2013,1200,15.948,
8.4,4,1.0,2013,1400,15.688,
8.4,4,1.0,2014,200,22.741,
8.4,4,1.0,2014,400,19.111,
8.4,4,1.0,2014,600,15.19,
8.4,4,1.0,2014,800,16.139,
8.4,4,1.0,2014,1000,16.676,
8.4,4,1.0,2014,1200,17.249,
8.4,4,1.0,2014,1400,16.946,
8.4,4,1.0,2015,200,23.996,
8.4,4,1.0,2015,400,20.213,
8.4,4,1.0,2015,600,16.217,
8.4,4,1.0,2015,800,17.312,
8.4,4,1.0,2015,1000,17.92,
8.4,4,1.0,2015,1200,18.571,
8.4,4,1.0,2015,1400,18.223,
8.4,4,1.0,2016,200,25.264,
8.4,4,1.0,2016,400,21.356,
8.4,4,1.0,2016,600,17.286,
8.4,4,1.0,2016,800,18.513,
8.4,4,1.0,2016,1000,19.186,
8.4,4,1.0,2016,1200,19.914,
8.4,4,1.0,2016,1400,19.52,
8.4,4,1.0,2017,200,26.535,
8.4,4,1.0,2017,400,22.532,
8.4,4,1.0,2017,600,18.396,
8.4,4,1.0,2017,800,19.741,
8.4,4,1.0,2017,1000,20.473,
8.4,4,1.0,2017,1200,21.279,
8.4,4,1.0,2017,1400,20.836,
8.4,4,1.0,2018,200,28.269,
8.4,4,1.0,2018,400,24.005,
8.4,4,1.0,2018,600,19.568,
8.4,4,1.0,2018,800,20.998,
8.4,4,1.0,2018,1000,21.785,
8.4,4,1.0,2018,1200,22.666,
8.4,4,1.0,2018,1400,22.173,
8.4,4,1.0,2019,200,30.426,
8.4,4,1.0,2019,400,25.755,
8.4,4,1.0,2019,600,20.799,
8.4,4,1.0,2019,800,22.286,
