inclination_deg,j,alt_km,flux_m2_yr,corrected
85,8,400,4.59e-07,
85,8,600,1.77e-06,
85,8,800,4.15e-06,
85,8,1000,4.88e-06,
85,8,1200,1.41e-06,
85,8,1400,1.8e-06,
95,1,200,0.000821,
95,1,400,0.00393,
95,1,600,0.0143,
95,1,800,0.032,
95,1,1000,0.0412,
95,1,1200,0.0248,
95,1,1400,0.0244,
95,2,200,6.59e-05,
95,2,400,0.000315,
95,2,600,0.00117,
95,2,800,0.00264,
95,2,1000,0.00335,
95,2,1200,0.00199,
95,2,1400,0.00197,
95,3,200,1.4e-05,
95,3,400,6.69e-05,
95,3,600,0.00024,
95,3,800,0.000529,
95,3,1000,0.00064,
95,3,1200,0.000368,
95,3,1400,0.000348,
95,4,200,2.53e-06,
95,4,400,1.21e-05,
95,4,600,4.26e-05,
95,4,800,8.93e-05,
95,4,1000,0.000103,
95,4,1200,5.78e-05,
95,4,1400,5.4e-05,
95,5,200,5.98e-07,
95,5,400,2.86e-06,
95,5,600,9.77e-06,
95,5,800,1.89e-05,
95,5,1000,2.07e-05,
95,5,1200,1.13e-05,
95,5,1400,1.04e-05,
95,6,200,2.29e-07,
95,6,400,1.09e-06,
95,6,600,3.72e-06,
95,6,800,6.7e-06,
95,6,1000,7.01e-06,
95,6,1200,3.65e-06,
95,6,1400,3.36e-06,
95,7,200,8.53e-08,
95,7,400,4.08e-07,
95,7,600,1.35e-06,
95,7,800,2.25e-06,
95,7,1000,2.25e-06,
95,7,1200,1.1e-06,
95,7,1400,1.03e-06,
95,8,200,1.06e-07,
95,8,400,5.06e-07,
95,8,600,1.95e-06,
95,8,800,4.58e-06,
95,8,1000,4.79e-06,
95,8,1200,1.38e-06,
95,8,1400,1.8e-06,
105,1,200,0.000813,
105,1,400,0.00389,
105,1,600,0.0141,
105,1,800,0.0308,
105,1,1000,0.0387,
105,1,1200,0.0235,
105,1,1400,0.0247,
105,2,200,6.52e-05,
105,2,400,0.000312,
105,2,600,0.00115,
105,2,800,0.00254,
105,2,1000,0.00314,
105,2,1200,0.00188,
105,2,1400,0.002,
105,3,200,1.39e-05,
105,3,400,6.62e-05,
105,3,600,0.000237,
105,3,800,0.00051,
105,3,1000,0.000601,
105,3,1200,0.000348,
105,3,1400,0.00353,0.000353
105,4,200,2.5e-06,
105,4,400,1.2e-05,
105,4,600,4.21e-05,
105,4,800,8.6e-05,
105,4,1000,9.7e-05,
105,4,1200,5.46e-05,
105,4,1400,5.51e-05,
105,5,200,5.92e-07,
105,5,400,2.83e-06,
105,5,600,9.63e-06,
105,5,800,1.82e-05,
105,5,1000,1.95e-05,
105,5,1200,1.06e-05,
105,5,1400,1.07e-05,
105,6,200,2.26e-07,
105,6,400,1.08e-06,
105,6,600,3.67e-06,
105,6,800,6.45e-06,
105,6,1000,6.57e-06,
105,6,1200,3.44e-06,
105,6,1400,3.49e-06,
105,7,200,8.44e-08,
105,7,400,4.03e-07,
105,7,600,1.33e-06,
105,7,800,2.17e-06,
105,7,1000,2.1e-06,
105,7,1200,1.03e-06,
105,7,1400,1.08e-06,
105,8,200,1.05e-07,
105,8,400,5e-07,
105,8,600,1.92e-06,
105,8,800,4.36e-06,
105,8,1000,4.45e-06,
105,8,1200,1.29e-06,
105,8,1400,1.98e-06,
